----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CREDENTIAL ACCESS
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
T1134.004 Parent PID Spoofing	                                    Atomic Test #2: Parent PID Spoofing - Spawn from Current Process [windows]                                                                                      Attack Commands: Run with powershell!                                                           Dependencies: Run with powershell!
T1134.004 Parent PID Spoofing	                                    Atomic Test #3: Parent PID Spoofing - Spawn from Specified Process [windows]                                                                                    Attack Commands: Run with powershell!                                                           Dependencies: Run with powershell!       
T1134.004 Parent PID Spoofing	                                    Atomic Test #4: Parent PID Spoofing - Spawn from svchost.exe [windows]                                                                                          Attack Commands: Run with powershell!                                                           Dependencies: Run with powershell! 
T1134.004 Parent PID Spoofing	                                    Atomic Test #5: Parent PID Spoofing - Spawn from New Process [windows]                                                                                          Attack Commands: Run with powershell!                                                           Dependencies: Run with powershell!   
T1574.009 Path Interception by Unquoted Path	                    Atomic Test #1: Execution of program.exe as service with unquoted service path [windows]                                                                        Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1547.010 Port Monitors	                                            Atomic Test #1: Add Port Monitor persistence in Registry [windows]                                                                                              Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1546.013 PowerShell Profile	                                    Atomic Test #1: Append malicious start-process cmdlet [windows]                                                                                                 Attack Commands: Run with powershell!                                                           Dependencies: Run with powershell!
T1055.012 Process Hollowing	                                        Atomic Test #1: Process Hollowing using PowerShell [windows]                                                                                                    Attack Commands: Run with powershell
T1055.012 Process Hollowing	                                        Atomic Test #2: RunPE via VBA [windows]                                                                                                                         Attack Commands: Run with powershell!                                                           Dependencies: Run with powershell!
T1055 Process Injection	                                            Atomic Test #1: Shellcode execution via VBA [windows]                                                                                                           Attack Commands: Run with powershell!                                                           Dependencies: Run with powershell!
T1055 Process Injection	                                            Atomic Test #2: Remote Process Injection in LSASS via mimikatz [windows]                                                                                        Attack Commands: Run with command_prompt!                                                       Dependencies: Run with powershell!
T1547.001 Registry Run Keys / Startup Folder	                    Atomic Test #1: Reg Key Run [windows]                                                                                                                           Attack Commands: Run with command_prompt!
T1547.001 Registry Run Keys / Startup Folder	                    Atomic Test #2: Reg Key RunOnce [windows]                                                                                                                       Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1547.001 Registry Run Keys / Startup Folder	                    Atomic Test #3: PowerShell Registry RunOnce [windows]                                                                                                           Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1547.001 Registry Run Keys / Startup Folder	                    Atomic Test #4: Suspicious vbs file run from startup Folder [windows]                                                                                           Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1547.001 Registry Run Keys / Startup Folder	                    Atomic Test #5: Suspicious jse file run from startup Folder [windows]                                                                                           Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1547.001 Registry Run Keys / Startup Folder	                    Atomic Test #6: Suspicious bat file run from startup Folder [windows]                                                                                           Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1547.001 Registry Run Keys / Startup Folder	                    Atomic Test #7: Add Executable Shortcut Link to User Startup Folder [windows]                                                                                   Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1053.005 Scheduled Task	                                        Atomic Test #1: Scheduled Task Startup Script [windows]                                                                                                         Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1053.005 Scheduled Task	                                        Atomic Test #2: Scheduled task Local [windows]                                                                                                                  Attack Commands: Run with command_prompt!
T1053.005 Scheduled Task	                                        Atomic Test #3: Scheduled task Remote [windows]                                                                                                                 Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1053.005 Scheduled Task	                                        Atomic Test #4: Powershell Cmdlet Scheduled Task [windows]                                                                                                      Attack Commands: Run with command_prompt!
T1546.002 Screensaver	                                            Atomic Test #1: Set Arbitrary Binary as Screensaver [windows]                                                                                                   Attack Commands: Run with command_prompt!  Elevation Required (e.g. root or admin)
T1547.005 Security Support Provider	                                Atomic Test #1: Modify SSP configuration in registry [windows]                                                                                                  Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1574.011 Services Registry Permissions Weakness	                Atomic Test #1: Service Registry Permissions Weakness [windows]                                                                                                 Attack Commands: Run with powershell!
T1574.011 Services Registry Permissions Weakness	                Atomic Test #2: Service ImagePath Change with reg.exe [windows]                                                                                                 Attack Commands: Run with command_prompt!                                                       Dependencies: Run with powershell!
T1547.009 Shortcut Modification	                                    Atomic Test #1: Shortcut Modification [windows]                                                                                                                 Attack Commands: Run with command_prompt
T1547.009 Shortcut Modification	                                    Atomic Test #2: Create shortcut to cmd in startup folders [windows]                                                                                             Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1134.001 Token Impersonation/Theft	                                Atomic Test #1: Named pipe client impersonation [windows]                                                                                                       Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1134.001 Token Impersonation/Theft	                                Atomic Test #2: SeDebugPrivilege token duplication [windows]                                                                                                    Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1546.003 Windows Management Instrumentation Event Subscription	    Atomic Test #1: Persistence via WMI Event Subscription [windows]                                                                                                Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1543.003 Windows Service	                                        Atomic Test #1: Modify Fax service to run PowerShell [windows]                                                                                                  Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin
T1543.003 Windows Service	                                        Atomic Test #2: Service Installation CMD [windows]                                                                                                              Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with powershell! 
T1543.003 Windows Service	                                        Atomic Test #3: Service Installation PowerShell [windows]                                                                                                       Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)                   Dependencies: Run with powershell!
T1547.004 Winlogon Helper DLL	                                    Atomic Test #1: Winlogon Shell Key Persistence - PowerShell [windows]                                                                                           Attack Commands: Run with powershell
T1547.004 Winlogon Helper DLL	                                    Atomic Test #2: Winlogon Userinit Key Persistence - PowerShell [windows]                                                                                        Attack Commands: Run with powershell! 
T1547.004 Winlogon Helper DLL	                                    Atomic Test #3: Winlogon Notify Key Logon Persistence - PowerShell [windows]                                                                                    Attack Commands: Run with powershell!
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
EXECUTION
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
T1047 Windows Management Instrumentation	                        Atomic Test #1: WMI Reconnaissance Users [windows]                                                                                                              Attack Commands: Run with command_prompt!
T1047 Windows Management Instrumentation	                        Atomic Test #2: WMI Reconnaissance Processes [windows]                                                                                                          Attack Commands: Run with command_prompt!
